degree,in_degree,out_degree,weighted_degree,degree_centrality,betweenness_centrality,closeness_centrality,character
19,0,19,316,1.0,0.0,0.0,薛寶釵
1,1,0,0,0.05263157894736842,0.0,0.0008920606601248884,賈寶玉
1,1,0,0,0.05263157894736842,0.0,0.0009074410163339383,林黛玉
1,1,0,0,0.05263157894736842,0.0,0.0017543859649122805,賈母
1,1,0,0,0.05263157894736842,0.0,0.0017543859649122805,王夫人
1,1,0,0,0.05263157894736842,0.0,0.002288329519450801,史湘雲
1,1,0,0,0.05263157894736842,0.0,0.002506265664160401,薛姨媽
1,1,0,0,0.05263157894736842,0.0,0.0029239766081871343,襲人
1,1,0,0,0.05263157894736842,0.0,0.0037593984962406013,鳳姐
1,1,0,0,0.05263157894736842,0.0,0.0043859649122807015,探春
1,1,0,0,0.05263157894736842,0.0,0.0043859649122807015,香菱
1,1,0,0,0.05263157894736842,0.0,0.004784688995215311,李紈
1,1,0,0,0.05263157894736842,0.0,0.006578947368421052,鶯兒
1,1,0,0,0.05263157894736842,0.0,0.006578947368421052,惜春
1,1,0,0,0.05263157894736842,0.0,0.007518796992481203,迎春
1,1,0,0,0.05263157894736842,0.0,0.05263157894736842,賈政
1,1,0,0,0.05263157894736842,0.0,0.05263157894736842,元春
1,1,0,0,0.05263157894736842,0.0,0.05263157894736842,鴛鴦
1,1,0,0,0.05263157894736842,0.0,0.05263157894736842,紫鵑
1,1,0,0,0.05263157894736842,0.0,0.05263157894736842,晴雯
